Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
24/03/2021,1238556-YIELDKIT GmbH-yieldkit.com,4,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1238556,YIELDKIT GmbH,yieldkit.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,1519404-Mariano Cordoba-marianocordoba.me,4,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1519404,Mariano Cordoba,marianocordoba.me,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,967949-Common News Update LLC-www.commonnewsupdate.com,3,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,967949,"Common News Update, LLC",www.commonnewsupdate.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,1250612-Refermate LLC-www.refermate.com,3,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1250612,"Refermate, LLC",www.refermate.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,709810-Prodege LLC-www.swagbucks.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,709810,Prodege LLC,www.swagbucks.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,862413-Prodege LLC-www.couponcause.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,862413,"Prodege, LLC",www.couponcause.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,1093950-Trapskin Enterprises LLC-www.sleepsherpa.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1093950,Trapskin Enterprises LLC,www.sleepsherpa.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,318676-Capital Intellect Inc.-www.befrugal.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,318676,"Capital Intellect, Inc.",www.befrugal.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,708786-ANDHI ERMAWAN-couponseeker.com salehunter.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,708786,ANDHI ERMAWAN,"couponseeker.com, salehunter.com",0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,742098-adgoal GmbH-www.adgoal.net,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,742098,adgoal GmbH,www.adgoal.net,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,748814-Reviewed.com-www.reviewed.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,748814,Reviewed.com,www.reviewed.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,1413766-LinkGains (HK) Limited-www.hotdeals.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1413766,LinkGains (HK) Limited,www.hotdeals.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,1617214-ShopAtHome.com LLC-www.shopathome.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1617214,"ShopAtHome.com, LLC",www.shopathome.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
25/03/2021,1088116-Business Insider Inc.-www.businessinsider.com,32,$767.00 ,0,$767.00 ,4,0,$159.00 ,12.5,$479.38 ,$194.00 ,1088116,"Business Insider, Inc.",www.businessinsider.com,4,0,0,0,0,0,$153.40 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$30.68 
25/03/2021,314743-Skimbit Ltd-skimlinks.com,80,$464.00 ,0,$464.00 ,2,0,$71.45 ,2.5,$87.00 ,$268.00 ,314743,Skimbit Ltd,skimlinks.com,2,0,0,0,0,0,$69.60 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.92 
25/03/2021,1225169-Vox Media LLC-www.voxmedia.com/a/vm,3,$249.00 ,0,$249.00 ,1,0,$44.82 ,33.33,"$1,494.00 ",$258.00 ,1225169,"Vox Media, LLC",www.voxmedia.com/a/vm,1,0,0,0,0,0,$44.82 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.96 
25/03/2021,742098-adgoal GmbH-www.adgoal.net,0,$225.25 ,0,$225.25 ,1,0,$6.76 ,0,$0.00 ,$220.36 ,742098,adgoal GmbH,www.adgoal.net,1,0,0,0,0,0,$6.76 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$1.35 
25/03/2021,514792-CBS Interactive Inc.-www.cnet.com,2,$199.20 ,0,$199.20 ,1,0,$23.90 ,50,"$1,195.00 ",$198.54 ,514792,CBS Interactive Inc.,www.cnet.com,1,0,0,0,0,0,$23.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$4.78 
25/03/2021,2053730-WW Affiliate-www.yourbestmattress247.com,32,$174.25 ,0,$174.25 ,1,0,$5.23 ,3.13,$16.34 ,$186.54 ,2053730,WW Affiliate,www.yourbestmattress247.com,1,0,0,0,0,0,$5.23 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$1.05 
25/03/2021,445875-Demand.io-knoji.com,8,$132.30 ,0,$132.30 ,1,0,$3.97 ,12.5,$49.63 ,$133.30 ,445875,Demand.io,knoji.com,1,0,0,0,0,0,$3.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.79 
25/03/2021,1663605-GSG North America LLC-coupons.businessinsider.com/,3,$80.00 ,0,$80.00 ,1,0,$8.00 ,33.33,$266.67 ,$82.00 ,1663605,GSG North America LLC,coupons.businessinsider.com/,1,0,0,0,0,0,$8.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$1.60 
25/03/2021,725033-ID.me Inc.-shop.id.me,50,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,725033,"ID.me, Inc.",shop.id.me,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
25/03/2021,1584217-Trends Green-topnaturalmattresses.com,46,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
